point_id,longitude,latitude,depth,log_clay_sand,log_silt_sand
ctb0022-L90,-51.21504271,-23.37125592,10,2.14658084451746,0.441832752279039
ctb0022-L91,-51.18153628,-23.39754823,10,1.56563528977571,0.305381649551182
ctb0022-L92,-51.14369256,-23.40806584,10,0.952008814476234,-0.0465200156348928
ctb0022-L93,-51.16381281,-23.42958962,10,1.06471073699243,0.0953101798043249
ctb0022-L94,-51.14002843,-23.47896859,10,2.76000994003292,1.16315080980568
ctb0022-L95,-51.16158261,-23.49535143,10,-0.287682072451781,-0.287682072451781
ctb0022-L96,-51.08200554,-23.38228506,10,1.94591014905531,0.693147180559945
ctb0022-L97,-51.08125319,-23.40019789,10,2.56494935746154,0.980829253011726
ctb0022-L98,-51.09335166,-23.44461522,10,2.18323833536148,0.965080896043587
ctb0022-L99,-51.08342436,-23.46016651,10,1.45528723260684,0.619039208406224
ctb0024-TN1 (100-50),-54.9708082774401,-2.84344817465818,5,3.120895416508,2.26868354131836
ctb0024-TN1 (100-50),-54.9708082774401,-2.84344817465818,15,3.58351893845611,2.56494935746154
ctb0024-TN1 (150-100),-54.9699915933158,-2.84224500693596,5,3.14988295338125,2.19722457733622
ctb0024-TN1 (150-100),-54.9699915933158,-2.84224500693596,15,3.58351893845611,2.56494935746154
ctb0024-TN1 (200-150),-54.9715750913245,-2.84318554718337,5,3.55534806148941,2.63905732961526
ctb0024-TN1 (200-150),-54.9715750913245,-2.84318554718337,15,3.55534806148941,2.63905732961526
ctb0024-TN1 (250-200),-54.9697815283943,-2.84370942410984,5,3.20545280453606,2.03688192726104
ctb0024-TN1 (250-200),-54.9697815283943,-2.84370942410984,15,3.61091791264422,2.484906649788
ctb0024-TN1 (50-0),-54.9701669626497,-2.84320740155803,5,3.63758615972639,2.39789527279837
ctb0024-TN1 (50-0),-54.9701669626497,-2.84320740155803,15,3.58351893845611,2.56494935746154
ctb0024-TN2 (100-50),-54.9670756242053,-2.84281586886873,5,3.20545280453606,2.03688192726104
ctb0024-TN2 (100-50),-54.9670756242053,-2.84281586886873,15,3.66356164612965,2.30258509299405
ctb0024-TN2 (150-100),-54.9682052967117,-2.8443934590159,5,3.55534806148941,2.63905732961526
ctb0024-TN2 (150-100),-54.9682052967117,-2.8443934590159,15,3.61091791264422,2.484906649788
ctb0024-TN2 (200-150),-54.967990066779,-2.84294213294802,5,3.14988295338125,2.19722457733622
ctb0024-TN2 (200-150),-54.967990066779,-2.84294213294802,15,3.58351893845611,2.56494935746154
ctb0024-TN2 (250-200),-54.966589451846,-2.84397684985502,5,3.10608033072286,2.30258509299405
ctb0024-TN2 (250-200),-54.966589451846,-2.84397684985502,15,3.46573590279973,2.83321334405622
ctb0024-TN2 (50-0),-54.9666761994535,-2.84441503128177,5,3.17805383034795,2.12026353620009
ctb0024-TN2 (50-0),-54.9666761994535,-2.84441503128177,15,3.58351893845611,2.56494935746154
ctb0024-TN2.3 0-50,-54.9620783073777,-2.84286302518103,5,3.25809653802148,1.84582669049833
ctb0024-TN2.3 0-50,-54.9620783073777,-2.84286302518103,15,3.42317628838093,0.510825623765991
ctb0024-TN2.3 100-150,-54.9617398416504,-2.8445980488055,5,3.20545280453606,2.03688192726104
ctb0024-TN2.3 100-150,-54.9617398416504,-2.8445980488055,15,2.51230562397612,1.20397280432594
ctb0024-TN2.3 150-200,-54.9616393871064,-2.84245398577961,5,2.72129542785223,1.33500106673234
ctb0024-TN2.3 150-200,-54.9616393871064,-2.84245398577961,15,2.94443897916644,1.6094379124341
ctb0024-TN2.3 200-250,-54.9615107662654,-2.8428769050405,5,3.28341434600577,1.73460105538811
ctb0024-TN2.3 200-250,-54.9615107662654,-2.8428769050405,15,3.3557350075854,1.29928298413026
ctb0024-TN2.3 50-100,-54.9610046821833,-2.84407559407103,5,3.3787245258101,1.09861228866811
ctb0024-TN2.3 50-100,-54.9610046821833,-2.84407559407103,15,3.68887945411394,2.19722457733622
ctb0024-TN2.7 0-50,-54.9539790368844,-2.84386311150933,5,2.9704144655697,1.50407739677627
ctb0024-TN2.7 0-50,-54.9539790368844,-2.84386311150933,15,3.14988295338125,2.19722457733622
ctb0024-TN2.7 100-150,-54.9541320879094,-2.84381816067848,5,3.02042488614436,1.25276296849537
ctb0024-TN2.7 100-150,-54.9541320879094,-2.84381816067848,15,3.3787245258101,1.09861228866811
ctb0024-TN2.7 150-200,-54.9546120981573,-2.84328438035363,5,3.02042488614436,1.25276296849537
ctb0024-TN2.7 150-200,-54.9546120981573,-2.84328438035363,15,3.40119738166216,0.847297860387204
ctb0024-TN2.7 200-250,-54.9551715938752,-2.84308136006713,5,3.09104245335832,0.693147180559945
ctb0024-TN2.7 200-250,-54.9551715938752,-2.84308136006713,15,2.9704144655697,1.50407739677627
ctb0024-TN2.7 50-100,-54.9547830811184,-2.8428535105423,5,2.91777073208428,1.70474809223843
ctb0024-TN2.7 50-100,-54.9547830811184,-2.8428535105423,15,3.3322045101752,1.46633706879343
